James Cameron: Mean_cast=50, Mean_crew=71.14286
Gore Verbinski: Mean_cast=34.142857, Mean_crew=37.42857
Sam Mendes: Mean_cast=33.57143, Mean_crew=71.42857
Christopher Nolan: Mean_cast=68.625, Mean_crew=86.5
Andrew Stanton: Mean_cast=24, Mean_crew=76.75
Sam Raimi: Mean_cast=48.454544, Mean_crew=47.18182
Byron Howard: Mean_cast=13, Mean_crew=79
Joss Whedon: Mean_cast=77, Mean_crew=80
David Yates: Mean_cast=54.333332, Mean_crew=20.333334
Zack Snyder: Mean_cast=54.857143, Mean_crew=64.14286
Bryan Singer: Mean_cast=38, Mean_crew=48.875
Marc Forster: Mean_cast=23.375, Mean_crew=19.875
Andrew Adamson: Mean_cast=21.2, Mean_crew=54.2
Rob Marshall: Mean_cast=21.8, Mean_crew=29.4
Barry Sonnenfeld: Mean_cast=22.285715, Mean_crew=49.57143
Peter Jackson: Mean_cast=28.555555, Mean_crew=50.555557
Marc Webb: Mean_cast=48.333332, Mean_crew=81
Ridley Scott: Mean_cast=35, Mean_crew=65.4375
Chris Weitz: Mean_cast=28.166666, Mean_crew=33
Anthony Russo: Mean_cast=48.5, Mean_crew=48
Peter Berg: Mean_cast=31, Mean_crew=45.333332
Colin Trevorrow: Mean_cast=23.5, Mean_crew=229
Shane Black: Mean_cast=64.5, Mean_crew=25.5
Tim Burton: Mean_cast=28.428572, Mean_crew=45.214287
Brett Ratner: Mean_cast=23.555555, Mean_crew=23.666666
Dan Scanlon: Mean_cast=24, Mean_crew=13
Michael Bay: Mean_cast=41.666668, Mean_crew=66.583336
Joseph Kosinski: Mean_cast=19, Mean_crew=29
John Lasseter: Mean_cast=33, Mean_crew=89.5
Martin Campbell: Mean_cast=31.375, Mean_crew=48.25
Lee Unkrich: Mean_cast=45, Mean_crew=38
McG: Mean_cast=20.166666, Mean_crew=34.5
James Wan: Mean_cast=26.571428, Mean_crew=52.42857
J.J. Abrams: Mean_cast=75.75, Mean_crew=43.75
Baz Luhrmann: Mean_cast=47.75, Mean_crew=39
Mike Newell: Mean_cast=22.857143, Mean_crew=21.428572
Guillermo del Toro: Mean_cast=30.8, Mean_crew=72.6
Steven Spielberg: Mean_cast=37.148148, Mean_crew=56.444443
Peter Sohn: Mean_cast=19, Mean_crew=11
Brenda Chapman: Mean_cast=15, Mean_crew=44
Justin Lin: Mean_cast=29.4, Mean_crew=63.8
Roland Emmerich: Mean_cast=44, Mean_crew=84
Robert Zemeckis: Mean_cast=40.307693, Mean_crew=63.46154
Lilly Wachowski: Mean_cast=39.666668, Mean_crew=43.833332
Pete Docter: Mean_cast=44.666668, Mean_crew=127.666664
Conrad Vernon: Mean_cast=24.666666, Mean_crew=24
Jon Favreau: Mean_cast=46.666668, Mean_crew=26.833334
Martin Scorsese: Mean_cast=41.15, Mean_crew=50.1
Rob Cohen: Mean_cast=19.11111, Mean_crew=56.333332
David Ayer: Mean_cast=49.5, Mean_crew=56.166668
Tom Shadyac: Mean_cast=19, Mean_crew=53.42857
Doug Liman: Mean_cast=31.857143, Mean_crew=55.857143
Kevin Reynolds: Mean_cast=21, Mean_crew=20.6
Stephen Sommers: Mean_cast=16, Mean_crew=36.5
Rupert Sanders: Mean_cast=36, Mean_crew=56
Robert Stromberg: Mean_cast=82, Mean_crew=14
